diet,category,mass_share_pct
1. Monitor 2024 (Current),Red Meat,3.877551020408163
1. Monitor 2024 (Current),Poultry,1.7006802721088436
1. Monitor 2024 (Current),Processed Meats,0.0
1. Monitor 2024 (Current),Dairy (Milk & Milkproducts),14.965986394557824
1. Monitor 2024 (Current),Cheese & Eggs,4.285714285714286
1. Monitor 2024 (Current),Fish,1.4965986394557822
1. Monitor 2024 (Current),Plant Protein,3.4013605442176873
1. Monitor 2024 (Current),Staples,30.952380952380953
1. Monitor 2024 (Current),Rice,2.0408163265306123
1. Monitor 2024 (Current),Veg & Fruit,20.74829931972789
1. Monitor 2024 (Current),Ultra-Processed,8.16326530612245
1. Monitor 2024 (Current),Soups,1.3605442176870748
1. Monitor 2024 (Current),Beverages & Additions,2.7210884353741496
1. Monitor 2024 (Current),Fats (Butter),1.3605442176870748
1. Monitor 2024 (Current),Oils (Plant-based),1.7006802721088436
1. Monitor 2024 (Current),Condiments,1.2244897959183674
2. Amsterdam Theoretical,Red Meat,4.66977985323549
2. Amsterdam Theoretical,Poultry,1.8679119412941962
2. Amsterdam Theoretical,Processed Meats,0.0
2. Amsterdam Theoretical,Dairy (Milk & Milkproducts),17.34489659773182
2. Amsterdam Theoretical,Cheese & Eggs,4.336224149432955
2. Amsterdam Theoretical,Fish,0.66711140760507
2. Amsterdam Theoretical,Plant Protein,2.201467645096731
2. Amsterdam Theoretical,Staples,29.68645763842562
2. Amsterdam Theoretical,Rice,1.6677785190126753
2. Amsterdam Theoretical,Veg & Fruit,18.67911941294196
2. Amsterdam Theoretical,Ultra-Processed,9.006004002668446
2. Amsterdam Theoretical,Soups,1.6677785190126753
2. Amsterdam Theoretical,Beverages & Additions,3.068712474983322
2. Amsterdam Theoretical,Fats (Butter),1.6677785190126753
2. Amsterdam Theoretical,Oils (Plant-based),2.0013342228152102
2. Amsterdam Theoretical,Condiments,1.467645096731154
3. Metropolitan (High Risk),Red Meat,8.453350031308704
3. Metropolitan (High Risk),Poultry,3.757044458359424
3. Metropolitan (High Risk),Processed Meats,0.0
3. Metropolitan (High Risk),Dairy (Milk & Milkproducts),12.523481527864746
3. Metropolitan (High Risk),Cheese & Eggs,5.009392611145898
3. Metropolitan (High Risk),Fish,0.939261114589856
3. Metropolitan (High Risk),Plant Protein,0.939261114589856
3. Metropolitan (High Risk),Staples,26.29931120851597
3. Metropolitan (High Risk),Rice,1.2523481527864746
3. Metropolitan (High Risk),Veg & Fruit,13.149655604257985
3. Metropolitan (High Risk),Ultra-Processed,16.28052598622417
3. Metropolitan (High Risk),Soups,0.939261114589856
3. Metropolitan (High Risk),Beverages & Additions,3.757044458359424
3. Metropolitan (High Risk),Fats (Butter),2.504696305572949
3. Metropolitan (High Risk),Oils (Plant-based),2.504696305572949
3. Metropolitan (High Risk),Condiments,1.6906700062617408
4. Metabolic Balance,Red Meat,12.054001928640307
4. Metabolic Balance,Poultry,7.714561234329798
4. Metabolic Balance,Processed Meats,0.0
4. Metabolic Balance,Dairy (Milk & Milkproducts),4.821600771456123
4. Metabolic Balance,Cheese & Eggs,9.643201542912246
4. Metabolic Balance,Fish,3.857280617164899
4. Metabolic Balance,Plant Protein,2.892960462873674
4. Metabolic Balance,Staples,10.607521697203472
4. Metabolic Balance,Rice,0.9643201542912248
4. Metabolic Balance,Veg & Fruit,28.929604628736737
4. Metabolic Balance,Ultra-Processed,1.9286403085824495
4. Metabolic Balance,Soups,2.892960462873674
4. Metabolic Balance,Beverages & Additions,3.857280617164899
4. Metabolic Balance,Fats (Butter),5.014464802314368
4. Metabolic Balance,Oils (Plant-based),3.3751205400192865
4. Metabolic Balance,Condiments,1.446480231436837
5. Dutch Goal (60:40),Red Meat,2.2304832713754648
5. Dutch Goal (60:40),Poultry,1.1152416356877324
5. Dutch Goal (60:40),Processed Meats,0.0
5. Dutch Goal (60:40),Dairy (Milk & Milkproducts),11.152416356877323
5. Dutch Goal (60:40),Cheese & Eggs,2.478314745972739
5. Dutch Goal (60:40),Fish,0.7434944237918215
5. Dutch Goal (60:40),Plant Protein,8.364312267657994
5. Dutch Goal (60:40),Staples,33.147459727385375
5. Dutch Goal (60:40),Rice,2.478314745972739
5. Dutch Goal (60:40),Veg & Fruit,26.64188351920694
5. Dutch Goal (60:40),Ultra-Processed,4.956629491945478
5. Dutch Goal (60:40),Soups,1.5489467162329618
5. Dutch Goal (60:40),Beverages & Additions,2.168525402726146
5. Dutch Goal (60:40),Fats (Butter),0.6815365551425031
5. Dutch Goal (60:40),Oils (Plant-based),1.3630731102850062
5. Dutch Goal (60:40),Condiments,0.929368029739777
6. Amsterdam Goal (70:30),Red Meat,1.3003901170351104
6. Amsterdam Goal (70:30),Poultry,0.6501950585175552
6. Amsterdam Goal (70:30),Processed Meats,0.0
6. Amsterdam Goal (70:30),Dairy (Milk & Milkproducts),6.501950585175553
6. Amsterdam Goal (70:30),Cheese & Eggs,2.275682704811443
6. Amsterdam Goal (70:30),Fish,0.975292587776333
6. Amsterdam Goal (70:30),Plant Protein,10.403120936280883
6. Amsterdam Goal (70:30),Staples,34.78543563068921
6. Amsterdam Goal (70:30),Rice,3.2509752925877766
6. Amsterdam Goal (70:30),Veg & Fruit,29.258777633289988
6. Amsterdam Goal (70:30),Ultra-Processed,4.096228868660598
6. Amsterdam Goal (70:30),Soups,1.950585175552666
6. Amsterdam Goal (70:30),Beverages & Additions,1.8205461638491547
6. Amsterdam Goal (70:30),Fats (Butter),0.5201560468140443
6. Amsterdam Goal (70:30),Oils (Plant-based),1.3003901170351104
6. Amsterdam Goal (70:30),Condiments,0.9102730819245773
7. EAT-Lancet (Planetary),Red Meat,0.8679479231246126
7. EAT-Lancet (Planetary),Poultry,1.7978921264724117
7. EAT-Lancet (Planetary),Processed Meats,0.0
7. EAT-Lancet (Planetary),Dairy (Milk & Milkproducts),15.499070055796652
7. EAT-Lancet (Planetary),Cheese & Eggs,0.805951642901426
7. EAT-Lancet (Planetary),Fish,1.735895846249225
7. EAT-Lancet (Planetary),Plant Protein,7.749535027898326
7. EAT-Lancet (Planetary),Staples,29.26224426534408
7. EAT-Lancet (Planetary),Rice,3.7197768133911966
7. EAT-Lancet (Planetary),Veg & Fruit,30.998140111593305
7. EAT-Lancet (Planetary),Ultra-Processed,2.7898326100433977
7. EAT-Lancet (Planetary),Soups,1.2399256044637323
7. EAT-Lancet (Planetary),Beverages & Additions,1.3639181649101055
7. EAT-Lancet (Planetary),Fats (Butter),0.24798512089274644
7. EAT-Lancet (Planetary),Oils (Plant-based),1.115933044017359
7. EAT-Lancet (Planetary),Condiments,0.805951642901426
8. Schijf van 5 (Guideline),Red Meat,2.4550898203592815
8. Schijf van 5 (Guideline),Poultry,1.4970059880239521
8. Schijf van 5 (Guideline),Processed Meats,0.0
8. Schijf van 5 (Guideline),Dairy (Milk & Milkproducts),14.97005988023952
8. Schijf van 5 (Guideline),Cheese & Eggs,2.9940119760479043
8. Schijf van 5 (Guideline),Fish,1.4970059880239521
8. Schijf van 5 (Guideline),Plant Protein,4.491017964071856
8. Schijf van 5 (Guideline),Staples,30.538922155688624
8. Schijf van 5 (Guideline),Rice,2.3952095808383236
8. Schijf van 5 (Guideline),Veg & Fruit,26.94610778443114
8. Schijf van 5 (Guideline),Ultra-Processed,5.389221556886228
8. Schijf van 5 (Guideline),Soups,1.4970059880239521
8. Schijf van 5 (Guideline),Beverages & Additions,2.095808383233533
8. Schijf van 5 (Guideline),Fats (Butter),0.7784431137724551
8. Schijf van 5 (Guideline),Oils (Plant-based),1.4970059880239521
8. Schijf van 5 (Guideline),Condiments,0.9580838323353293
9. Mediterranean Diet,Red Meat,2.2326674500587544
9. Mediterranean Diet,Poultry,1.1750881316098707
9. Mediterranean Diet,Processed Meats,0.0
9. Mediterranean Diet,Dairy (Milk & Milkproducts),11.750881316098708
9. Mediterranean Diet,Cheese & Eggs,2.82021151586369
9. Mediterranean Diet,Fish,2.056404230317274
9. Mediterranean Diet,Plant Protein,5.875440658049354
9. Mediterranean Diet,Staples,30.25851938895417
9. Mediterranean Diet,Rice,2.6439482961222094
9. Mediterranean Diet,Veg & Fruit,30.552291421856637
9. Mediterranean Diet,Ultra-Processed,3.231492361927144
9. Mediterranean Diet,Soups,1.762632197414806
9. Mediterranean Diet,Beverages & Additions,2.526439482961222
9. Mediterranean Diet,Fats (Butter),0.5287896592244419
9. Mediterranean Diet,Oils (Plant-based),1.762632197414806
9. Mediterranean Diet,Condiments,0.8225616921269095
